Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
Fuaamotu,21,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Showering,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)"
,,,,,,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,Home,,,,,Getting dressed,,,,,,,,,,,,,,
Fuaamotu,25,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Dinner,"TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuaamotu,22,Tuesday,Sleeping,Sleeping,Sleeping,Woke up,Cooking,Tidy up,Tidy up,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Home,Cooking,Cooking,Dinner,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Listen to music/radio,Listen to music/radio,Listen to music/radio,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,Ironing,,,,,,,,,,,,,,,,,,,,,,,,Cooking,,,,,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,,,
Ha'ateiho,28,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Tidy up,Tidy up,Cooking,Dinner,Dinner,Showering,Showering,Reading,Reading,Reading,Reading,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Ironing,Breakfast,,,,,,,,,,,,,,,,,,,Tidy up,Laundry,Laundry,Cooking,"TV (TV, movies)","TV (TV, movies)",,,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",,,,,,,,
Havelu,36,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Cooking,Breakfast,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (work),Home,"TV (TV, movies)",Homework (kids),"TV (TV, movies)",Cooking,Dinner,Family devotion,Kids bedtime,Tidy up,Tidy up,Tidy up,Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,Ironing,Getting dressed,Cooking (lunch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
